foldset,H,B,F,end,embargo,fold,n_windows,n_pos,n_distinct_surg,base_rate
alt,150,0,730,e0a_2024-12-31,none,train,10958,133,42,0.012137251323234167
alt,150,0,730,e0a_2024-12-31,none,valid,8561,128,38,0.014951524354631469
alt,150,0,730,e0a_2024-12-31,none,test,9689,165,56,0.017029621219940137
alt,150,0,730,e0a_2024-12-31,strict,train,10958,133,42,0.012137251323234167
alt,150,0,730,e0a_2024-12-31,strict,valid,8561,128,38,0.014951524354631469
alt,150,0,730,e0a_2024-12-31,strict,test,9689,165,56,0.017029621219940137
alt,150,0,INF,cons_2023-12-31,none,train,11346,133,42,0.01172219284329279
alt,150,0,INF,cons_2023-12-31,none,valid,10914,132,39,0.012094557449147883
alt,150,0,INF,cons_2023-12-31,none,test,12647,161,57,0.012730291768798925
alt,150,0,INF,cons_2023-12-31,strict,train,11346,133,42,0.01172219284329279
alt,150,0,INF,cons_2023-12-31,strict,valid,10914,132,39,0.012094557449147883
alt,150,0,INF,cons_2023-12-31,strict,test,12647,161,57,0.012730291768798925
alt,150,0,INF,e0a_2024-12-31,none,train,11346,133,42,0.01172219284329279
alt,150,0,INF,e0a_2024-12-31,none,valid,10914,132,39,0.012094557449147883
alt,150,0,INF,e0a_2024-12-31,none,test,13899,167,57,0.01201525289589179
alt,150,0,INF,e0a_2024-12-31,strict,train,11346,133,42,0.01172219284329279
alt,150,0,INF,e0a_2024-12-31,strict,valid,10914,132,39,0.012094557449147883
alt,150,0,INF,e0a_2024-12-31,strict,test,13899,167,57,0.01201525289589179
alt,150,30,30,cons_2023-12-31,none,train,6611,67,29,0.010134624111329602
alt,150,30,30,cons_2023-12-31,none,valid,2977,34,19,0.011420893516963387
alt,150,30,30,cons_2023-12-31,none,test,4103,74,37,0.018035583719229833
alt,150,30,30,cons_2023-12-31,strict,train,6611,67,29,0.010134624111329602
alt,150,30,30,cons_2023-12-31,strict,valid,2977,34,19,0.011420893516963387
alt,150,30,30,cons_2023-12-31,strict,test,4103,74,37,0.018035583719229833
alt,150,30,30,e0a_2024-12-31,none,train,6611,67,29,0.010134624111329602
alt,150,30,30,e0a_2024-12-31,none,valid,2977,34,19,0.011420893516963387
alt,150,30,30,e0a_2024-12-31,none,test,4540,79,37,0.01740088105726872
alt,150,30,30,e0a_2024-12-31,strict,train,6611,67,29,0.010134624111329602
alt,150,30,30,e0a_2024-12-31,strict,valid,2977,34,19,0.011420893516963387
alt,150,30,30,e0a_2024-12-31,strict,test,4540,79,37,0.01740088105726872
alt,150,30,365,cons_2023-12-31,none,train,9886,97,35,0.009811855148695125
alt,150,30,365,cons_2023-12-31,none,valid,7063,92,33,0.013025626504318278
alt,150,30,365,cons_2023-12-31,none,test,7349,114,48,0.015512314600625935
alt,150,30,365,cons_2023-12-31,strict,train,9886,97,35,0.009811855148695125
alt,150,30,365,cons_2023-12-31,strict,valid,7063,92,33,0.013025626504318278
alt,150,30,365,cons_2023-12-31,strict,test,7349,114,48,0.015512314600625935
alt,150,30,365,e0a_2024-12-31,none,train,9886,97,35,0.009811855148695125
alt,150,30,365,e0a_2024-12-31,none,valid,7063,92,33,0.013025626504318278
alt,150,30,365,e0a_2024-12-31,none,test,8011,119,48,0.014854574959430782
alt,150,30,365,e0a_2024-12-31,strict,train,9886,97,35,0.009811855148695125
alt,150,30,365,e0a_2024-12-31,strict,valid,7063,92,33,0.013025626504318278
alt,150,30,365,e0a_2024-12-31,strict,test,8011,119,48,0.014854574959430782
alt,150,30,730,cons_2023-12-31,none,train,10958,97,35,0.00885198028837379
alt,150,30,730,cons_2023-12-31,none,valid,8561,99,33,0.011564069618035275
alt,150,30,730,cons_2023-12-31,none,test,8870,117,48,0.013190529875986472
alt,150,30,730,cons_2023-12-31,strict,train,10958,97,35,0.00885198028837379
alt,150,30,730,cons_2023-12-31,strict,valid,8561,99,33,0.011564069618035275
alt,150,30,730,cons_2023-12-31,strict,test,8870,117,48,0.013190529875986472
alt,150,30,730,e0a_2024-12-31,none,train,10958,97,35,0.00885198028837379
alt,150,30,730,e0a_2024-12-31,none,valid,8561,99,33,0.011564069618035275
alt,150,30,730,e0a_2024-12-31,none,test,9689,122,48,0.012591598720198162
alt,150,30,730,e0a_2024-12-31,strict,train,10958,97,35,0.00885198028837379
alt,150,30,730,e0a_2024-12-31,strict,valid,8561,99,33,0.011564069618035275
alt,150,30,730,e0a_2024-12-31,strict,test,9689,122,48,0.012591598720198162
alt,150,30,INF,cons_2023-12-31,none,train,11346,97,35,0.008549268464657148
alt,150,30,INF,cons_2023-12-31,none,valid,10914,103,34,0.009437419827744181
alt,150,30,INF,cons_2023-12-31,none,test,12647,119,49,0.009409346089981814
alt,150,30,INF,cons_2023-12-31,strict,train,11346,97,35,0.008549268464657148
alt,150,30,INF,cons_2023-12-31,strict,valid,10914,103,34,0.009437419827744181
alt,150,30,INF,cons_2023-12-31,strict,test,12647,119,49,0.009409346089981814
alt,150,30,INF,e0a_2024-12-31,none,train,11346,97,35,0.008549268464657148
alt,150,30,INF,e0a_2024-12-31,none,valid,10914,103,34,0.009437419827744181
alt,150,30,INF,e0a_2024-12-31,none,test,13899,124,49,0.008921505144254983
alt,150,30,INF,e0a_2024-12-31,strict,train,11346,97,35,0.008549268464657148
alt,150,30,INF,e0a_2024-12-31,strict,valid,10914,103,34,0.009437419827744181
alt,150,30,INF,e0a_2024-12-31,strict,test,13899,124,49,0.008921505144254983
alt,150,60,30,cons_2023-12-31,none,train,6611,46,21,0.006958100136136742
alt,150,60,30,cons_2023-12-31,none,valid,2977,19,11,0.006382264024185421
alt,150,60,30,cons_2023-12-31,none,test,4103,50,27,0.012186205215695833
alt,150,60,30,cons_2023-12-31,strict,train,6611,46,21,0.006958100136136742
alt,150,60,30,cons_2023-12-31,strict,valid,2977,19,11,0.006382264024185421
alt,150,60,30,cons_2023-12-31,strict,test,4103,50,27,0.012186205215695833
alt,150,60,30,e0a_2024-12-31,none,train,6611,46,21,0.006958100136136742
alt,150,60,30,e0a_2024-12-31,none,valid,2977,19,11,0.006382264024185421
alt,150,60,30,e0a_2024-12-31,none,test,4540,52,27,0.01145374449339207
alt,150,60,30,e0a_2024-12-31,strict,train,6611,46,21,0.006958100136136742
alt,150,60,30,e0a_2024-12-31,strict,valid,2977,19,11,0.006382264024185421
alt,150,60,30,e0a_2024-12-31,strict,test,4540,52,27,0.01145374449339207
alt,150,60,365,cons_2023-12-31,none,train,9886,64,27,0.006473801335221525
alt,150,60,365,cons_2023-12-31,none,valid,7063,66,31,0.009344471187880505
alt,150,60,365,cons_2023-12-31,none,test,7349,76,38,0.010341543067083956
alt,150,60,365,cons_2023-12-31,strict,train,9886,64,27,0.006473801335221525
alt,150,60,365,cons_2023-12-31,strict,valid,7063,66,31,0.009344471187880505
alt,150,60,365,cons_2023-12-31,strict,test,7349,76,38,0.010341543067083956
alt,150,60,365,e0a_2024-12-31,none,train,9886,64,27,0.006473801335221525
alt,150,60,365,e0a_2024-12-31,none,valid,7063,66,31,0.009344471187880505
alt,150,60,365,e0a_2024-12-31,none,test,8011,78,38,0.009736612158282362
alt,150,60,365,e0a_2024-12-31,strict,train,9886,64,27,0.006473801335221525
alt,150,60,365,e0a_2024-12-31,strict,valid,7063,66,31,0.009344471187880505
alt,150,60,365,e0a_2024-12-31,strict,test,8011,78,38,0.009736612158282362
alt,150,60,730,cons_2023-12-31,none,train,10958,64,27,0.005840481839751779
alt,150,60,730,cons_2023-12-31,none,valid,8561,71,31,0.008293423665459643
alt,150,60,730,cons_2023-12-31,none,test,8870,79,39,0.00890642615558061
alt,150,60,730,cons_2023-12-31,strict,train,10958,64,27,0.005840481839751779
alt,150,60,730,cons_2023-12-31,strict,valid,8561,71,31,0.008293423665459643
alt,150,60,730,cons_2023-12-31,strict,test,8870,79,39,0.00890642615558061
alt,150,60,730,e0a_2024-12-31,none,train,10958,64,27,0.005840481839751779
alt,150,60,730,e0a_2024-12-31,none,valid,8561,71,31,0.008293423665459643
alt,150,60,730,e0a_2024-12-31,none,test,9689,81,39,0.008359995871606978
